Contact Id,Tag Added,Should have Added,Status
1DI9L7l6R7KWIQtLuvkJ,no,no,not-effected
XeLGeB4YkFIcEYDf4Jn9,yes,question not found - skip add tag,effected
5e36qffile45cR0zkVMb,yes,question not found - skip add tag,effected
7MKev09Y6HnZGDmT15Em,yes,question not found - skip add tag,effected
94VwFBqUEYzQOU3VdNrQ,yes,question not found - skip add tag,effected
yA91nGRIJ2n2mA5hew2r,yes,question not found - skip add tag,effected
0vivoCuiLkSno9fkh6bl,yes,question not found - skip add tag,effected
sUZSzyBejg9mz4dkHCwC,yes,question not found - skip add tag,effected
V7lynKEcBw93EEfGNFKl,no,no,not-effected
UY2HcKfHb57kOZXk4YnS,yes,question not found - skip add tag,effected
